0	0
1	0
2	1
3	2
4	3
5	4
6	5
7	2
8	7
9	8
10	8
11	8
12	3
13	3
14	2
15	11
17	5
16	13
19	14
18	2
21	15
20	16
23	0
22	0
25	13
24	18
27	19
26	13
29	14
28	15
31	11
30	0
34	0
35	24
32	25
33	26
38	5
39	5
36	5
37	5
42	0
43	14
40	5
41	5
46	0
47	29
44	0
45	0
51	15
50	0
49	0
48	0
55	31
54	4
53	25
52	2
59	0
58	33
57	4
56	25
63	0
62	35
61	0
60	0
68	15
69	37
70	14
71	15
64	0
65	35
66	41
67	43
76	8
77	44
78	45
79	8
72	46
73	47
74	48
75	2
85	49
84	19
87	7
86	50
81	51
80	14
83	14
82	5
93	55
92	57
95	18
94	18
89	7
88	2
91	19
90	46
102	14
103	0
100	5
101	60
98	14
99	5
96	62
97	62
110	0
111	43
108	11
109	65
106	2
107	0
104	5
105	68
119	43
118	49
117	60
116	4
115	15
114	43
113	69
112	43
127	70
126	2
125	60
124	71
123	5
122	7
121	4
120	43
137	0
136	18
139	50
138	50
141	13
140	62
143	0
142	6
129	46
128	9
131	0
130	9
133	10
132	14
135	18
134	12
152	13
153	0
154	46
155	0
156	0
157	0
158	17
159	6
144	18
145	18
146	20
147	21
148	0
149	22
150	48
151	23
171	5
170	43
169	16
168	15
175	6
174	43
173	6
172	18
163	27
162	60
161	5
160	23
167	28
166	15
165	4
164	30
186	19
187	19
184	48
185	44
190	14
191	32
188	18
189	11
178	44
179	16
176	11
177	4
182	46
183	34
180	4
181	4
205	36
204	42
207	38
206	2
201	48
200	39
203	40
202	42
197	46
196	10
199	0
198	15
193	5
192	5
195	5
194	50
220	5
221	11
222	14
223	62
216	60
217	52
218	53
219	54
212	50
213	56
214	43
215	10
208	58
209	59
210	2
211	0
234	50
233	61
232	63
231	0
230	8
229	66
228	64
227	42
226	66
225	67
224	62
