0	0
1	2
2	0
3	4
4	6
5	7
6	4
7	9
8	9
9	0
10	10
11	11
12	12
13	12
14	12
15	13
17	0
16	0
19	4
18	15
21	16
20	13
23	12
22	16
25	18
24	19
27	20
26	21
29	22
28	19
31	23
30	24
34	25
35	27
32	28
33	0
38	16
39	16
36	16
37	16
42	31
43	0
40	16
41	28
46	36
47	34
44	19
45	36
51	13
50	38
49	36
48	39
55	40
54	41
53	42
52	44
59	46
58	46
57	47
56	47
63	28
62	6
61	50
60	52
68	54
69	12
70	36
71	55
64	57
65	47
66	4
67	25
76	0
77	59
78	61
79	50
72	61
73	62
74	63
75	9
85	0
84	4
87	9
86	40
81	12
80	68
83	13
82	69
93	13
92	13
95	13
94	72
89	0
88	47
91	0
90	0
102	13
103	13
100	73
101	13
98	0
99	47
96	13
97	74
110	0
111	0
108	75
109	0
106	13
107	12
104	13
105	13
119	4
118	12
117	78
116	0
115	79
114	13
113	80
112	4
127	81
126	82
125	82
124	0
123	83
122	28
121	84
120	12
137	0
136	1
139	3
138	40
141	5
140	0
143	8
142	0
129	13
128	6
131	13
130	13
133	13
132	13
135	0
134	42
152	36
153	36
154	14
155	78
156	83
157	0
158	17
159	13
144	36
145	36
146	36
147	36
148	4
149	4
150	0
151	47
171	78
170	26
169	36
168	25
175	25
174	29
173	36
172	30
163	16
162	16
161	32
160	4
167	33
166	74
165	25
164	35
186	37
187	22
184	13
185	50
190	51
191	45
188	49
189	43
178	36
179	45
176	12
177	36
182	48
183	33
180	49
181	51
205	53
204	8
207	38
206	16
201	56
200	9
203	33
202	69
197	58
196	78
199	28
198	0
193	60
192	2
195	64
194	64
220	65
221	36
222	66
223	66
216	33
217	67
218	53
219	26
212	33
213	70
214	71
215	18
208	6
209	51
210	51
211	28
230	24
229	66
228	76
227	28
226	76
225	13
224	77
