0	0
1	1
2	2
3	3
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	6
15	2
17	3
16	2
19	0
18	3
21	8
20	6
23	11
22	1
25	13
24	11
27	0
26	15
29	0
28	0
31	11
30	0
34	0
35	0
32	2
33	8
38	0
39	8
36	11
37	0
42	8
43	8
40	8
41	5
46	8
47	0
44	8
45	8
51	7
50	6
49	8
48	0
55	2
54	2
53	0
52	2
59	0
58	11
57	6
56	0
63	11
62	11
61	8
60	0
68	0
69	0
70	0
71	0
64	11
65	11
66	11
67	4
76	0
77	0
78	0
79	6
72	0
73	0
74	0
75	0
85	2
84	6
87	0
86	6
81	9
80	0
83	10
82	8
93	12
92	14
95	15
94	12
89	16
88	9
91	2
90	0
102	0
103	7
100	11
101	0
98	0
99	0
96	3
97	0
104	11
